Filename	Model	Nodes	Cost	B&B N	CPUTime
data/g01.dat	mtz	2	46	0	0.056
data/g01.dat	scf	2	46	0	0.059
data/g01.dat	mcf	2	46	0	0.425
data/g01.dat	mtz	5	477	17	0.118
data/g01.dat	scf	5	477	0	0.114
data/g01.dat	mcf	5	477	0	0.45
data/g02.dat	mtz	4	373	102	0.334
data/g02.dat	scf	4	373	8	0.319
data/g02.dat	mcf	4	373	9	2.213
data/g02.dat	mtz	10	1390	714	1.035
data/g02.dat	scf	10	1390	209	1.516
data/g02.dat	mcf	10	1390	0	1.712
data/g03.dat	mtz	10	725	538	2.254
data/g03.dat	scf	10	725	278	2.57
data/g03.dat	mcf	10	725	0	11.693
data/g03.dat	mtz	25	3074	1261	8.659
data/g03.dat	scf	25	3074	1125	14.701
data/g03.dat	mcf	25	3074	0	14.397
data/g04.dat	mtz	14	909	1125	5.198
data/g04.dat	scf	14	909	973	9.874
data/g04.dat	mcf	14	909	67	30.89
data/g04.dat	mtz	35	3292	8233	39.054
data/g04.dat	scf	35	3292	14371	74.034
data/g04.dat	mcf	35	3292	0	36.684
data/g05.dat	mtz	20	1235	874	5.434
data/g05.dat	scf	20	1235	1018	10.818
data/g05.dat	mcf	20	1235	3	97.296
data/g05.dat	mtz	50	4898	7394	55.384
data/g05.dat	scf	50	4898	1390	21.184
data/g05.dat	mcf	50	4898	0	81.698
